"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"73180","Palermo Apt - Las Cañitas area",161327,"Mariano",NA,"Palermo",-34.57213,-58.43294,"Entire home/apt",4354,14,44,2022-12-19,0.33,14,303,14,NA
"372086","Studios 5 Stars in Palermo 4 B,3B",444416,"Claudia",NA,"Palermo",-34.59681,-58.42248,"Entire home/apt",3524,3,63,2022-11-28,0.48,25,237,13,NA
"379826","5 stars studios in Palermo,new",444416,"Claudia",NA,"Palermo",-34.59465,-58.42206,"Entire home/apt",3876,3,14,2022-10-29,0.11,25,272,2,NA
"74383","Penthouse 2BR with River&Sunrise views",319901,"Ralf Dietmar",NA,"Palermo",-34.58706,-58.43417,"Entire home/apt",34987,3,131,2022-12-23,0.95,24,251,34,NA
"379839","5 stars studios in Palermo new!",444416,"Claudia",NA,"Palermo",-34.59679,-58.42035,"Entire home/apt",3876,3,29,2022-12-14,0.24,25,273,8,NA
"176318","San Telmo Vintage - Art Experience Fully Renovated",843196,"Ivan",NA,"Monserrat",-34.6156,-58.36843,"Entire home/apt",7224,4,186,2022-12-13,1.42,1,282,31,"20272876925"
"178330","3 Bedrooms / 2 Bathroom, Off & Ldy Apt in Palermo",853184,"Juan",NA,"Palermo",-34.58712,-58.42184,"Entire home/apt",10572,20,9,2022-10-02,0.4,3,272,5,NA
"380943","TEMPORARY RENT",1910856,"Gimena",NA,"Almagro",-34.62063,-58.41608,"Entire home/apt",4052,2,94,2021-10-11,0.72,1,332,0,NA
"75094","Amazing apartment in Recoleta",161327,"Mariano",NA,"Recoleta",-34.58918,-58.39518,"Entire home/apt",8810,14,135,2022-12-11,0.94,14,330,14,NA
"380989","Nice Studio-Downtown Buenos Aires",1911004,"Ernesto",NA,"San Nicolas",-34.60799,-58.37945,"Entire home/apt",8810,1,32,2022-11-20,0.25,1,302,8,NA
"75492","Studio Loft in Palermo Soho #1",400828,"Jony",NA,"Palermo",-34.589,-58.42024,"Entire home/apt",7148,2,341,2022-12-17,2.55,3,346,6,NA
"180692","Tango and Enjoyment of Buenos Aires",865765,"Hector",NA,"Villa Urquiza",-34.57624,-58.48314,"Private room",12334,5,0,NA,NA,1,365,0,NA
"383026","At the heart of San Telmo. Single",906277,"Magdalena",NA,"San Telmo",-34.62148,-58.37053,"Private room",3524,2,81,2022-12-09,0.62,4,362,11,NA
"181627","RENT APP ARTS",870611,"Pablo",NA,"Palermo",-34.5845,-58.41291,"Private room",22905,30,0,NA,NA,1,365,0,NA
"75526","GUAPO / Amazing Large Studio* with great views.🎈",319901,"Ralf Dietmar",NA,"Palermo",-34.58261,-58.42345,"Entire home/apt",16046,4,128,2022-10-29,0.91,24,274,20,NA
"76005","Heart of Recoleta, no better place!",315089,"Max",NA,"Recoleta",-34.59014,-58.39386,"Entire home/apt",7048,5,6,2013-08-17,0.04,5,320,0,NA
"388089","5 stars studios in Palermo,new!",444416,"Claudia",NA,"Almagro",-34.5992,-58.42091,"Entire home/apt",3524,3,42,2022-11-04,0.32,25,154,10,NA
"77404","Beautiful Duplex - Trendy Palermo",161327,"Mariano",NA,"Palermo",-34.56692,-58.43324,"Entire home/apt",8810,14,32,2022-11-18,0.24,14,272,7,NA
"182031","¡habitación con aire acondicionada con sala baile!",872401,"Hanna",NA,"Almagro",-34.60047,-58.41764,"Private room",1900,14,1,2022-12-23,1,5,319,1,NA
"389270","5 stars studios in Palermo,new!",444416,"Claudia",NA,"Palermo",-34.59494,-58.42095,"Entire home/apt",3524,3,29,2022-11-26,0.22,25,260,7,NA
"394376","Beautiful apartment in Historic Building, Terrace!",91936,"Nicolas",NA,"Balvanera",-34.60889,-58.39482,"Entire home/apt",5638,4,31,2022-10-12,0.26,8,328,7,NA
"186005","Modern apartment in Downtown Buenos Aires",893209,"Victoria",NA,"Retiro",-34.59804,-58.37688,"Entire home/apt",15102,4,68,2022-11-29,0.5,3,324,21,NA
"77704","PALERMO SOHO Cheap Little Apt",417020,"Jorge Fernando",NA,"Palermo",-34.58236,-58.42726,"Entire home/apt",3524,7,119,2020-03-22,0.85,1,57,0,NA
"77994","Studio 1A - Corazon de San Telmo",64880,"Elbio Mariano",NA,"San Telmo",-34.62014,-58.37371,"Entire home/apt",7048,3,5,2019-08-03,0.04,9,344,0,NA
"394407","Stunning Apt in Landmark Building",91936,"Nicolas",NA,"San Nicolas",-34.60865,-58.38753,"Entire home/apt",23786,4,175,2022-12-04,1.4,8,289,31,NA
"396509","Suite at Faena Hotel Puerto Madero",1443812,"Luciana",NA,"Puerto Madero",-34.61254,-58.36241,"Entire home/apt",26025,1,89,2022-12-19,0.92,2,109,59,NA
"78005","SOFA STUDIO, SAN TELMO, 1B",64880,"Elbio Mariano",NA,"San Telmo",-34.61998,-58.37151,"Entire home/apt",8810,2,16,2022-11-09,0.12,9,342,1,NA
"78009","STUDIO DEFENSA 2A en San Telmo",64880,"Elbio Mariano",NA,"San Telmo",-34.61998,-58.37151,"Entire home/apt",12334,2,43,2022-04-12,0.3,9,349,1,NA
"78014","STUDIO SOFA CAMA & PATIO",64880,"Elbio Mariano",NA,"San Telmo",-34.61998,-58.37151,"Entire home/apt",5286,3,24,2019-05-13,0.17,9,349,0,NA
"78068","Lovely Place at a GREAT Location!",419383,"Mariana Y Sebas",NA,"Palermo",-34.58246,-58.4034,"Entire home/apt",6167,4,22,2022-07-18,0.15,8,272,3,NA
"188154","At the heart of San Telmo  Double",906277,"Magdalena",NA,"San Telmo",-34.62063,-58.36967,"Private room",4405,2,71,2022-12-13,0.54,4,360,13,NA
"190988","Beautiful apartment in Las Cañitas",320183,"Hortensia",NA,"Palermo",-34.57133,-58.42975,"Entire home/apt",14976,10,33,2022-10-22,0.27,4,355,7,NA
"398267","Loft con entrepiso en Palermo (Parque Las Heras)",50665721,"Shan",NA,"Palermo",-34.58437,-58.41137,"Entire home/apt",8576,7,119,2022-12-18,0.93,11,365,8,NA
"404935","Sunny One Bedroom Palermo Loft, PalermoLifestyle",2017830,"Barbara",NA,"Palermo",-34.58618,-58.42449,"Entire home/apt",14272,2,184,2022-12-04,1.42,41,360,15,NA
"191056","Big sunny, central Studio",923804,"Annatina Luck",NA,"Monserrat",-34.61308,-58.38862,"Entire home/apt",4757,10,11,2019-11-12,0.08,1,0,0,NA
"197288","Beautiful studio in heart Recoleta",961397,"Marisa",NA,"Recoleta",-34.5913,-58.39037,"Entire home/apt",10000,7,1,2012-02-22,0.01,1,305,0,NA
"78351","Apt in Palermo, Las Cañitas",420786,"Carola",NA,"Palermo",-34.5752,-58.43102,"Entire home/apt",10924,10,12,2022-12-17,0.1,3,280,1,NA
"78685","Luminous Palermo 1BDR Apartment",419383,"Mariana Y Sebas",NA,"Recoleta",-34.58353,-58.40621,"Entire home/apt",7929,3,46,2022-12-20,0.33,8,353,7,NA
"410119","Deluxe 5-star 2 bedroom in Recoleta",1967648,"Nigel",NA,"Recoleta",-34.58916,-58.38872,"Entire home/apt",47572,5,7,2022-11-01,0.06,1,220,2,NA
"78703","Amazing Studio w/Terrace & BBQ ""Heart of Recoleta""",422878,"Oscar Ricardo",NA,"Recoleta",-34.59446,-58.39588,"Entire home/apt",7048,2,193,2022-02-09,1.44,2,310,3,NA
